session_id,sequence_id,sample_id,sample_source,timestamp_seconds,unity_frame,left_device_id,left_is_tracked,left_tracking_state,left_pose_valid,left_px,left_py,left_pz,left_qx,left_qy,left_qz,left_qw,right_device_id,right_is_tracked,right_tracking_state,right_pose_valid,right_px,right_py,right_pz,right_qx,right_qy,right_qz,right_qw,pair_valid
20260911_130547_284_P01,seq_0001,1,BeforeRender,31.524199704,2186,67,1,15,1,-0.946966529,-0.119495556,-0.467406392,0.456534892,0.485829711,0.165627509,-0.726713777,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,2,BeforeRender,31.538052104,2187,67,1,15,1,-0.946805716,-0.119321443,-0.46734336,0.456736237,0.485666573,0.165603369,-0.726701796,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,3,BeforeRender,31.552053404,2188,67,1,15,1,-0.946679115,-0.119198956,-0.467276156,0.456926137,0.485458702,0.165531248,-0.726737797,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,4,BeforeRender,31.565973704,2189,67,1,15,1,-0.946558237,-0.119108133,-0.467209876,0.456988364,0.485251337,0.165543526,-0.726834297,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,5,BeforeRender,31.579858104,2190,67,1,15,1,-0.946428478,-0.119055972,-0.467157811,0.456945717,0.485146493,0.165491164,-0.726943016,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,6,BeforeRender,31.593947004,2191,67,1,15,1,-0.946328819,-0.119018942,-0.467135966,0.456937015,0.485165447,0.165346831,-0.726968706,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,7,BeforeRender,31.607805304,2192,67,1,15,1,-0.946225524,-0.118998706,-0.467083395,0.457022339,0.485189736,0.165298939,-0.726909757,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,8,BeforeRender,31.621720104,2193,67,1,15,1,-0.946212113,-0.119017065,-0.467029721,0.457026631,0.485182673,0.165348247,-0.726900518,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,9,BeforeRender,31.635588404,2194,67,1,15,1,-0.946178257,-0.119038768,-0.466945857,0.456885934,0.485208094,0.165407881,-0.726958513,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,10,BeforeRender,31.649460704,2195,67,1,15,1,-0.946118534,-0.119022414,-0.466901243,0.456645161,0.485319048,0.165317863,-0.727056146,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,11,BeforeRender,31.663517504,2196,67,1,15,1,-0.946069717,-0.118977092,-0.466882199,0.456348151,0.485567868,0.165042147,-0.727139235,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,12,BeforeRender,31.677353504,2197,67,1,15,1,-0.946069658,-0.118876114,-0.466901332,0.456198454,0.485966831,0.1646128,-0.727063954,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,13,BeforeRender,31.691386504,2198,67,1,15,1,-0.946096957,-0.118758008,-0.466948628,0.456079453,0.486380935,0.164438397,-0.726901054,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
20260911_130547_284_P01,seq_0001,14,BeforeRender,31.705314904,2199,67,1,15,1,-0.946146846,-0.118574366,-0.467029959,0.455892742,0.487315893,0.164227486,-0.726439595,68,1,15,1,-1.66223705,-0.36467725,-0.386207551,0.28079018,0.635707498,-0.365440547,0.619262516,1
