sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
0,14908757336000,9992.0,,1.00,WARMUP_A_1,,0.000,0.000,1789131956290.626,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.290626+04:00,93.3
1,14908771233000,9992.0,,1.00,WARMUP_A_2,,13.897,13.897,1789131956304.523,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.304523+04:00,86.0
2,14908785130000,9992.0,,1.00,WARMUP_A_3,,27.794,27.794,1789131956318.420,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.318420+04:00,83.9
3,14908799020000,9992.0,,1.00,WARMUP_A_4,,41.684,41.684,1789131956332.310,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.332310+04:00,84.1
4,14908812915000,9992.0,,1.00,WARMUP_A_5,,55.579,55.579,1789131956346.205,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.346205+04:00,84.1
5,14908826807000,9992.0,,1.00,WARMUP_A_6,,69.471,69.471,1789131956360.097,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.360097+04:00,84.2
6,14908840693000,9992.0,,1.00,WARMUP_A_7,,83.357,83.357,1789131956373.983,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.373983+04:00,84.2
7,14909174136000,9992.0,,1.00,WARMUP_A_8,,416.800,416.800,1789131956707.426,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.707426+04:00,84.3
8,14909188028000,9992.0,,1.00,WARMUP_A_9,,430.692,430.692,1789131956721.318,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.721318+04:00,84.3
9,14909201922000,9992.0,,1.00,WARMUP_A_10,,444.586,444.586,1789131956735.212,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.735212+04:00,84.2
10,14909215816000,9992.0,,1.00,WARMUP_A_11,,458.480,458.480,1789131956749.106,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.749106+04:00,84.3
11,14909229712000,9992.0,,1.00,WARMUP_A_12,,472.376,472.376,1789131956763.002,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.763002+04:00,84.2
12,14909243607000,9992.0,,1.00,WARMUP_A_13,,486.271,486.271,1789131956776.897,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:56.776897+04:00,84.3
